id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
ID_00000,Track_00000,London Calling,ALB_00083,Bon Iver,ART_00369,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,295000,4,2005,2005-01-01
ID_00001,Track_00001,Abbey Road,ALB_00409,Kiasmos,ART_00309,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,216000,4,2004,2004-01-01
ID_00002,Track_00002,Moderat II,ALB_00188,Darkside,ART_00336,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,151000,4,2019,2019-01-01
ID_00003,Track_00003,Untrue,ALB_00686,Grizzly Bear,ART_00407,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,311000,4,1996,1996-01-01
ID_00004,Track_00004,Awake,ALB_00445,Mac DeMarco,ART_00336,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,190000,4,1995,1995-01-01
ID_00005,Track_00005,Cross,ALB_00906,Empire of the Sun,ART_00388,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,302000,4,2017,2017-01-01
ID_00006,Track_00006,A Forest,ALB_00469,The National,ART_00167,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,249000,4,1992,1992-01-01
ID_00007,Track_00007,Total,ALB_00181,SebastiAn,ART_00360,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,343000,4,2013,2013-01-01
ID_00008,Track_00008,Bad,ALB_00409,Christian Loffler,ART_00032,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,295000,4,1991,1991-01-01
ID_00009,Track_00009,True Blue,ALB_00067,Grizzly Bear,ART_00245,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,327000,4,2012,2012-01-01
ID_00010,Track_00010,Meat Is Murder,ALB_00102,Max Cooper,ART_00038,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,296000,4,2010,2010-01-01
ID_00011,Track_00011,Let It Be,ALB_00692,Justice,ART_00021,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,265000,4,2015,2015-01-01
ID_00012,Track_00012,Spaces,ALB_00109,Empire of the Sun,ART_00197,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,185000,4,1992,1992-01-01
ID_00013,Track_00013,Born in the USA,ALB_00663,Christian Loffler,ART_00254,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,202000,4,2004,2004-01-01
ID_00014,Track_00014,Sound of Silver,ALB_00392,Tame Impala,ART_00091,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,142000,4,2018,2018-01-01
ID_00015,Track_00015,Black Sands,ALB_00227,Nicolas Jaar,ART_00042,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,246000,4,1992,1992-01-01
ID_00016,Track_00016,Overgrown,ALB_00332,Kavinsky,ART_00282,1,1,0,0.5,0.7,0,0.0,1,0.05,0.1,0.0,0.1,0.5,120.0,353000,4,1996,1996-01-01
